Artist, Date
'Enslaved',2020-04-01T00:00:00
'Insomnium',2020-04-10T00:00:00
'Disillusion',2020-04-13T00:00:00
'Borknagar',2020-05-14T00:00:00
'Oranssi Pazuzu',2020-05-15T00:00:00
'Arcturus',2020-05-21T00:00:00
'Insomnium',2020-05-29T00:00:00
'Spirit Adrift',2020-05-29T00:00:00
'Khemmis',2020-05-30T00:00:00
'Jo Quail',2020-05-30T00:00:00
'Vreid',2020-06-13T00:00:00
'Steve Von Till',2020-07-17T00:00:00
'Enslaved',2020-08-20T00:00:00
'Imperial Triumphant',2020-09-05T00:00:00
'Behemoth',2020-09-05T00:00:00
'Enslaved',2020-10-01T00:00:00
'Spirit Adrift',2020-10-17T00:00:00
'Saor',2020-10-18T00:00:00
'Paradise Lost',2020-11-05T00:00:00
'DVNE',2020-11-20T00:00:00
'Dark Tranquility',2020-11-21T00:00:00
'Horrendous',2021-03-19T00:00:00
'The Ocean',2021-03-25T00:00:00
'Roadburn Redux',2021-04-15T00:00:00
'Decibel 200th Issue Show',2021-04-30T00:00:00
