"Artist","Album","hof_num","Label","rel_date"
"Fudge Tunnel","Hate Songs in E Minor","dB HoF No. 195","Label: Earache","Release date: August 20, 1991"
"King Diamond","“Them”","dB HoF No. 194","Label: Roadrunner","Release date: September 13, 1988"
"Judas Priest","Painkiller","dB HoF No. 193","Label: Columbia","Release date: September 3, 1990"
"Swans","Children of God","dB HoF No. 192","Label: Caroline/Mute","Release date: October 19, 1987"
"Die Kreuzen","October File","dB HoF No. 191","Label: Touch and Go","Release date: May 1986"
"Baroness","Red Album","dB HoF No. 190","Label: Relapse","Release date: September 4, 2007"
"Slint","Spiderland","dB HoF No. 189","Label: Touch and Go","Release date: March 27, 1991"
"Municipal Waste","The Art of Partying","dB HoF No. 188","Label: Earache","Release date: June 11, 2007"
"Earth Crisis","Destroy the Machines","dB HoF No. 187","Label: Victory","Release date: May 25, 1995"
"Ved Buens Ende","Written In Waters","dB HoF No. 186","Label: Misanthropy","Release date: October 1995"
"Clutch","Blast Tyrant","dB HoF No. 185","Label: DRT Entertainment","Release date: March 23, 2004"
"Shai Hulud","Hearts Once Nourished With Hope and Compassion","dB HoF No. 184","Label: Crisis","Release date: November 4, 1997"
"Mare","Mare","dB HoF No. 183","Label: Hydra Head","Release date: October 5, 2004"
"Behemoth","Demigod","dB HoF No. 182","Label: Regain/Olympic Recordings","Release date: October 25, 2004"
"Madball","Set It Off","dB HoF No. 181","Label: Roadrunner","Release date: July 26, 1994"
"Sacrilege","Behind the Realms of Madness","dB HoF No. 180","Label: Pusmort","Release date: July 19, 1985"
"Armored Saint","Symbol of Salvation","dB HoF No. 179","Label: Metal Blade","Release date: May 14, 1991"
"Tormentor","Anno Domini","dB HoF No. 178","Label: Self-released","Release date: 1989"
"The Darkness","Permission to Land","dB HoF No. 177","Label: Atlantic","Release date: July 7, 2003"
"Anthrax","Fistful of Metal","dB HoF No. 176","Label: Megaforce","Release date: January 1984"
"Avail","Over the James","dB HoF No. 175","Label: Lookout!","Release date: April 7, 1998"
"Varathron","His Majesty at the Swamp","dB HoF No. 174","Label: Cyber Music","Release date: August 1993"
"The Accüsed","More Fun Than an Open Casket Funeral!","dB HoF No. 173","Label: Combat","Release date: May 5, 1987"
"Michael Schenker Group","Assault Attack","dB HoF No. 172","Label: Chrysalis","Release date: October 1982"
"Emperor/Enslaved","Emperor/Hordanes Land","dB HoF No. 171","Label: Candlelight","Release date: June 1993"
"Carcass","Symphonies of Sickness","dB HoF No. 170","Label: Earache","Release date: November 4, 1989"
"Watain","Casus Luciferi","dB HoF No. 169","Label: Drakkar Productions","Release date: November 2003"
"Asphyx","The Rack","dB HoF No. 168","Label: Century Media","Release date: April 13, 1991"
"Testament","The New Order","dB HoF No. 167","Label: Megaforce / Atlantic","Release date: May 5, 1988"
"Ripping Corpse","Dreaming with the Dead","dB HoF No. 166","Label: Kraze","Release date: June 1, 1991"
"Budgie","Never Turn Your Back on a Friend","dB HoF No. 165","Label: MCA","Release date: June 1973"
"Gojira","From Mars to Sirius","dB HoF No. 164","Label: Listenable","Release date: September 27, 2005"
