Summary,Location,Start Time
b'Cybernetic Witch Cult (BMs)',,2018-04-05 18:30:00+00:00
b'<CODE> (Audio)',,2017-11-11 18:30:00+00:00
b'A & P / Uir (SH)',,2019-04-11 19:00:00+00:00
b'A Forest of Stars',,2015-10-16 17:30:00+00:00
b'A Perfect Circle (O2 Academy)',,2018-12-02 19:00:00+00:00
b'AFOS',,2010-11-27
b'Agalloch',,2015-08-10 18:00:00+00:00
b'Alcest (Glasgow)',,2016-11-12 18:30:00+00:00
b'alcest et al',,2011-04-23
b'Alcest',,2014-02-01
b'Alcest',,2015-05-08 18:00:00+00:00
b'Amorphis',,2016-03-24
b'Anathema/Alcest (Garage)',,2017-09-22 17:00:00+00:00
b'Animals as Leaders (Garage)',,2019-08-02 17:00:00+00:00
b'Annihilator',,2010-11-14
b'AOP etc',,2011-10-30
b'ArcTanGent 2019',"Fernhill Farm, Cheddar RoadBS40 6LD Bristol, Bristol, England, GB, BS40 6LD",2019-08-15 10:00:00+00:00
b'ArcTanGent',,2019-08-15
b'Auf der Maur',Glasgow,2010-11-13
b'Beehoover',,2016-09-19 18:00:00+00:00
b'Behemoth / ATG (QMU)',,2019-02-11 18:30:00+00:00
b'Between The Buried And Me',"Glasgow Garage, Glasgow, Scotland, GB",2015-09-19 18:00:00+00:00
b'Bismuth (Henrys)',,2020-01-15 20:45:00+00:00
"b'Black Cobra, primitive man, Northless, Transient'","Highline, 210 Broadway Ave E, Seattle, WA, 98122",2015-08-21 04:00:00+00:00
b'Black Country Communion',,2011-07-29
b'Black Mountain (Audio)',,2019-10-18 18:30:00+00:00
b'Bloodstock \\m/',,2012-08-09
b'Bloodstock',,2011-08-12
b'Bloodstock',,2018-08-09
b'Bosphorus / Haar (Opium)',,2019-03-01 19:00:00+00:00
b'Bossk (Audio)',,2017-05-13 17:30:00+00:00
b'BTBAM (Garage)',,2018-11-29 18:00:00+00:00
b'BTBAM (MCR)',,2019-10-09 18:00:00+00:00
b'Buried Sleeper (Audio)',,2018-04-14 18:00:00+00:00
"b'Candlefest, Londinium'",,2013-08-23
b'COC / Spirit Adrift (Garage)',,2021-04-27 18:00:00+00:00
b'Code Orange / Gojira',,2017-03-17 18:00:00+00:00
b'Coltsblood / Bast (BL)',,2017-02-08 19:30:00+00:00
b'Conjurer (Sheffield)',,2016-11-06 19:00:00+00:00
b'Cult of Luna (Garage)',,2016-04-09 18:00:00+00:00
b'Cult of Luna (LDN)',,2019-11-29 18:30:00+00:00
b'Cult of Luna',,2013-01-19
b'Cult of Luna',,2014-05-10 20:00:00+00:00
b'Damnation 2012',,2012-11-03
b'Damnation Fest (Leeds)',,2016-11-05 12:00:00+00:00
b'Damnation Fest',damnation fest,2010-11-06
b'Damnation Fest',,2011-11-05
b'Damnation Fest',,2013-11-02
b'Damnation Festival (Leeds)',,2017-11-04 12:00:00+00:00
b'Damnation Festival (Leeds)',,2018-11-03 12:30:00+00:00
b'Damnation Festival (Leeds)',,2019-11-02 12:30:00+00:00
b'Damnation Festival',,2015-11-07 12:00:00+00:00
b'Dawn Rayd / Kaddish (Henrys)',,2019-11-01 19:00:00+00:00
b'Deafheaven / Inter Arma (CG) @ 19:00',,2018-10-02 18:00:00+00:00
b'Devin Townsend Project',,2017-03-14 19:00:00+00:00
b'Doom over Edinburgh',,2016-03-11 19:00:00+00:00
b'Doom over Edinburgh',,2016-03-12 19:00:00+00:00
b'Dopethrone (S24)',,2016-09-09 17:30:00+00:00
b'Dream Theater (Glasgow)',,2020-02-23 18:30:00+00:00
b'Dream Theater (MCR)',,2017-04-19 18:00:00+00:00
b'Dream Theater',,2012-02-08
b'Dream Theater',,2014-02-14
b'Dream Theater',"London Palladium, London, England, United Kingdom",2016-02-19 19:00:00+00:00
b'DTP',,2015-03-30 18:00:00+00:00
b'DVNE (BL)',,2017-11-15 18:30:00+00:00
b'DVNE (LBA)',,2018-12-15 18:00:00+00:00
b'Earth &amp; Sabbath Assembly',,2011-04-05
b'Earth',,2012-03-08 19:00:00+00:00
b'ELDER (Audio)',,2018-09-30 17:30:00+00:00
b'Elder (BM`s)',,2016-10-11 18:00:00+00:00
b'Elder (Smash)',,2017-08-07 18:00:00+00:00
b'enslaved',,2011-04-22
b'et9 / the Ocean',Stereo Glasgow,2011-05-19
b'Eternal Helcaraxe',,2011-01-29
b'Fear Factory',,2015-12-12 19:00:00+00:00
b'Fleshtival (BL)',,2016-10-15 14:00:00+00:00
b'Fleshtival (BL)',,2018-09-08 15:00:00+00:00
b'Gojira',,2012-11-06
b'GY! BE',,2015-04-19 18:00:00+00:00
b'Haar (BM)',,2016-11-26 19:30:00+00:00
b'haar banshee',,2012-07-06 18:30:00+00:00
b'Haken (SL)',,2019-02-16 18:30:00+00:00
b'Haken',,2017-03-23 19:00:00+00:00
b'Heavy Scotland',,2017-04-01 18:00:00+00:00
b'Henry Rollins',,2011-08-19 18:00:00+00:00
b'High Spirits',,2017-02-26 19:00:00+00:00
b'hole in the sky',the sky,2011-08-26
b'Inferno 2012',,2012-04-04
b'Inferno Festival',Oslo,2010-03-31
b'Inferno',,2015-04-02
b'Insomnium (Cathouse)',,2020-01-23 19:00:00+00:00
b'Inter Arma (Audio)',,2017-05-01 17:30:00+00:00
b'Iron Maiden',,2011-07-20
b'Iron Witch',,2016-10-02 18:00:00+00:00
b'Jesu',,2014-05-10 14:30:00+00:00
b'Juniper Grave (Opium)',,2019-05-26 18:00:00+00:00
b'Katatonia / Alcest',,2012-12-12
b'Kayo Dot BL',,2015-04-22 18:00:00+00:00
b'King Witch (BMs)',,2018-09-15 18:00:00+00:00
b'Knut / Keelhaul',,2011-04-29
b'Kylesa',,2011-02-09
b'London By Norse',,2016-03-17
b'Lord of the Land Fest',,2015-10-24 17:00:00+00:00
b'Maiden United (BM)',,2017-03-20 19:30:00+00:00
b'Malta Metal (BL)',,2017-07-22 18:30:00+00:00
b'Mastodon (BarrowL)',,2017-12-07 19:00:00+00:00
b'Mastodon (O2 Academy)',,2019-01-19 19:00:00+00:00
b'Max and Iggor Return To Roots',"Glasgow Garage, Glasgow, Scotland, United Kingdom",2017-06-11 18:00:00+00:00
b'Meshuggah',,2017-01-15 19:00:00+00:00
b'Metal (Opium)',,2017-03-24 20:00:00+00:00
b'Metal Banshee Lab',,2016-07-03 18:30:00+00:00
b'Metal Festival Alliance (OL)',,2020-08-07
b'Mithras (Glasgow)',,2016-10-26 18:00:00+00:00
b'mogwai',,2011-02-21
b'Motorpsycho',,2010-11-24
b'Nadja / Sunw\xc3\xb8lf (BM`s)',,2016-11-11 19:00:00+00:00
b'Negative Plane',,2011-08-04
b'Negura Bunget',,2014-04-05
b'Negura Bunget',,2015-05-15 18:30:00+00:00
b'Neurosis (Berkeley)',,2018-07-10 18:00:00+00:00
b'Neurosis (Londinium)',,2019-07-20 17:00:00+00:00
b'Neurosis / Godflesh',,2012-12-02
b'Neurosis',,2010-12-06
b'Nile',,2014-06-24 17:30:00+00:00
b'Noothgrush etc',,2015-04-26 17:00:00+00:00
b'OHHMS (Garage)',,2018-05-19 17:30:00+00:00
b'Ommadon / OSAT (Henry`s)',,2017-06-17 18:30:00+00:00
b'Opeth / Anathema',,2012-11-13
b'Opeth / Enslaved (BarrowL)',,2017-11-16 19:00:00+00:00
b'Opeth down under!',,2011-12-16
b'Opeth',,2011-11-10
b'Ortega / Bismuth (BL)',,2017-10-20 18:00:00+00:00
b'Pallbearer (MCR)',,2017-04-09 18:00:00+00:00
b'Paradise Lost',,2013-10-31
b'Paradise Lost',"Glasgow Garage, Glasgow, Scotland, GB",2015-10-01 18:00:00+00:00
b'Pelican (CG)',,2019-10-17 18:00:00+00:00
b'Pelican',,2016-05-02 18:00:00+00:00
b'Pijn (Opium)',,2019-10-20 18:00:00+00:00
b'PIST/Battalions (BMs)',,2018-03-31 18:00:00+00:00
b'Prophecy Fest',,2019-09-13
b'Ritual Fest pre-show (Leeds)',,2017-04-07 18:00:00+00:00
b'Ritual Festival (Leeds)',,2017-04-08 11:00:00+00:00
b'Roadburn 2021(0!)',,2021-04-15
b'ROADBURN FESTIVAL - 4 DAYS',"013, Veemarktstraat 44, Tilburg, Noord-Brabant, Netherlands, 5038 CV",2018-04-19 14:30:00+00:00
b'Roadburn',,2013-04-18
b'Roadburn',,2014-04-10
b'Roadburn',,2016-04-14
b'Roadburn',,2017-04-20
b'Roadburn',,2018-04-19
b'Samothrace',,2016-05-04 17:30:00+00:00
b'Saor (Drygate)',,2020-02-08 19:00:00+00:00
b'Saor / \xc3\x9air (Stereo)',,2017-07-14 18:00:00+00:00
b'Solar Sons / Sapien (LBA)',,2019-05-04 14:00:00+00:00
b'SUMAC (Stereo)',,2019-03-17 18:30:00+00:00
b'Tectonics Festival',,2013-05-12 14:00:00+00:00
b'TGOO (Audio)',,2018-11-16 18:30:00+00:00
b'The Ocean (Audio)',,2019-03-23 19:00:00+00:00
b'The Ocean',,2011-05-24
b'The Ocean',,2014-07-09
b'The Wildhearts',,2014-06-13 18:00:00+00:00
b'Uburen / Necrocracy (BL)',,2017-07-08 19:00:00+00:00
b'Uir (Henry`s)',,2019-10-05 18:00:00+00:00
b'Ulcerate / Bell Witch',,2015-10-14 18:00:00+00:00
b'Venomous Concept',,2016-01-13 19:30:00+00:00
b'Video Games Live',,2015-03-27 19:30:00+00:00
b'Vinnum Sabbathi (BM)',,2017-07-13 18:30:00+00:00
b'Wardruna (QueensHall)',,2018-11-19 19:00:00+00:00
b'WITTR (LBA)',,2018-06-25 17:30:00+00:00
b'WITTR (SL)',,2020-01-21 19:00:00+00:00
b'wodensthrone',,2012-07-27 18:00:00+00:00
b'Year of the Cobra / Juniper Grave (Opium)',,2019-10-02 18:00:00+00:00
b'Yob (Glasgow)',,2016-10-08 18:00:00+00:00
b'Yob (Stereo)',,2018-10-09 18:00:00+00:00
"b""WITTR (St Luke's)""",,2017-12-02 19:00:00+00:00
