norm_to_update,current
Weird Al Yankovic,"""Weird Al"" Yankovic"
Red Sparowes,1
Battle of Mice,2
Battle of Mice,3
Made Out Of Babies,4
Made Out Of Babies,5
Red Sparowes,6
1349,1349
65daysofstatic,65daysofstatic
Code,<code>
A.A. Williams,A.A. Williams
Abjure,Abjure
Aborym,Aborym
Absu,Absu
Acolyte,Acolyte
Aerial Ruin,Aerial Ruin
A Forest of Stars,A Forest of Stars
A Forest of Stars,A Forest Of Stars
Agalloch,Agalloch
Agalloch,AGALLOCH
Agalloch and Mathias Grassow,Agalloch and Mathias Grassow
Ahab,Ahab
Ails,Ails
Akercocke,Akercocke
Alcest,Alcest
Alda,Alda
Alice in Chains,Alice in Chains
Alice in Chains,Alice In Chains
Alien Weaponry,Alien Weaponry
Altar of Plagues,Altar of Plagues
Altar of Plagues,Altar Of Plagues
Amen,Amen
Amenra,Amenra
"American Composers Orchestra (Philip Glass, R. Wilson, M. di Niscemi)","American Composers Orchestra (Philip Glass, R. Wilson, M. di Niscemi)"
Amesoeurs,Amesoeurs
Amon Amarth,Amon Amarth
Amorphis,Amorphis
Anaal Nathrakh,Anaal Nathrakh
Anathema,Anathema
Animals as Leaders,Animals as Leaders
Animals as Leaders,Animals As Leaders
Annihilator,Annihilator
Anthrax,Anthrax
A Perfect Circle,A Perfect Circle
Arbrynth,Arbrynth
Arcade Fire,Arcade Fire
Arch Enemy,Arch Enemy
Arcturus,Arcturus
Arise,Arise
Ascension of the Watchers,Ascension of the Watchers
Ash Borer,Ash Borer
Ashbringer,Ashbringer
Ashenspire,Ashenspire
As it Burns,As It Burns
A Storm of Light,A Storm of Light
A Storm of Light,A Storm Of Light
Astra,Astra
Atheist,Atheist
At the Drive In,At The Drive-In
At the Gates,At The Gates
Audioslave,Audioslave
Audn,AUDN 
Audrey Horne,Audrey Horne
Melissa Auf der Maur,Auf Der Maur
Author and Punisher,Author & Punisher
Baest,Baest
Baptists,Baptists
Baroness,Baroness
Bast,Bast
Battle of Mice,Battle of Mice
Behemoth,Behemoth
Believe In Angels,Believe In Angels
Bell Witch,Bell Witch
Bell Witch and Aerial Ruin,BELL WITCH and AERIAL RUIN
Between the Buried and Me,Between the Buried and Me
Between the Buried and Me,Between The Buried And Me
Between the Buried and Me,BetweenThe Buried And Me
Beyond Creation,Beyond Creation
Billie Holiday,Billie Holiday
Biohazard,Biohazard
Bird York,Bird York
Bismuth,Bismuth
Black Country Communion,Black Country Communion
Blackfield,Blackfield
Black Flag,Black Flag
Black Mountain,Black Mountain
Black Sabbath,Black Sabbath
Blood And Time,Blood And Time
Bloodbath,Bloodbath
Blood Incantation,Blood Incantation
Blood Tsunami,Blood Tsunami
Blue Foundation,Blue Foundation
Blut Aus Nord,Blut aus Nord
Blut Aus Nord,Blut Aus Nord
Bob Dylan,Bob Dylan
Bolt Thrower,Bolt Thrower
Bong,Bong
Boris,Boris
Boris & Ian Astbury,Boris & Ian Astbury
Borknagar,Borknagar
Bosphorus,Bosphorus
Bosse-de-Nage,Bosse-de-Nage
Bossk,Bossk
Bossk,Bossk/ .1/ .2
Boss Keloid,Boss Keloid
Botanist,Botanist
Botch,Botch
boysetsfire,boysetsfire
Brian Eno,Brian Eno
Bruce Dickinson,Bruce Dickinson
Bruckner Orchester Linz (Philip Glass),Bruckner Orchester Linz (Philip Glass)
Brutal Truth,Brutal Truth
Budapest Symphony Orchestra,Budapest Symphony Orchestra
Buried Sleeper,Buried Sleeper
Burn by the Sun,Burnt By The Sun
Burn by the Sun,BURNT BY THE SUN
Burst,Burst
Bush,Bush
Bushman's Revenge,Bushman's Revenge
Bushman's Revenge,bushmens revenge
Butthole Surfers & Moby,Butthole Surfers & Moby
Caina,Caina
Candiria,Candiria
Canvas,Canvas
Car Bomb,Car Bomb
Carcass,Carcass
Castle,Castle
Cathedral,Cathedral
Cattle Decapitation,Cattle Decapitation
Cavalera Conspiracy,Cavalera Conspiracy
Cave In,Cave In
Celtic Frost,Celtic Frost
Charger,Charger
Charles Mingus,Charles Mingus
Charles Mingus,Charles Mingus and his Jazz Groups
Chelsea Wolfe,Chelsea Wolfe
Chimaira,CHIMAIRA
Chrch,Chrch
City Of Angels,City Of Angels
Clawfinger,Clawfinger
Closer Than Kin,Closer Than Kin
Clutch,Clutch
Cnoc An Tursa,Cnoc An Tursa
Cobalt,Cobalt
Code,Code
Code Orange,Code Orange
Coheed and Cambria,Coheed and Cambria
Coheed and Cambria,Coheed And Cambria
Cold,Cold
Cold in Berlin,Cold in Berlin
Coltsblood,Coltsblood
Conjurer,Conjurer
Conjurer and Pijn,Conjurer and Pijn
Control Denied,Control Denied
Converge,Converge
Corrupt Moral Altar,Corrupt Moral Altar
Covenant,Covenant
Crackhouse,CRACKHOUSE
Cradle Of Filth,Cradle Of Filth
Craft,Craft
Crescent,Crescent
Crippled Black Phoenix,Crippled Black Phoenix
Crone,Crone
CROWN,Crown
CROWN,CROWN
Cryptopsy,Cryptopsy
Crypt Sermon,Crypt Sermon
Cult of Luna,Cult of Luna
Cult of Luna,Cult Of Luna
Cult of Luna & Julie Christmas,Cult of Luna & Julie Christmas
Cult of Luna & The Old Wind,Cult of Luna & The Old Wind
Cynic,Cynic
Danny Elfman,Danny Elfman
Darkane,Darkane
Darkthrone,Darkthrone
Dark Tranquility,Dark Tranquility
Dark Tranquility,Dark Tranquillity
Dawn Ray'd,Dawn Ray'd
Daylight Dies,Daylight Dies
Deafheaven,Deafheaven
Dearly Beheaded,Dearly Beheaded
Death,Death
Decapitated,Decapitated
December's Cold Winter,December's Cold Winter
Deep Forest,Deep Forest
Deftones,Deftones
Dennis Russell Davies,Dennis Russell Davies (Philip Glass)
De Profundis,De Profundis
De Profundis,DE PROFUNDIS (UK)
Devin Townsend,Devin Townsend
Devin Townsend Project,Devin Townsend Project
Dexter Gordon,Dexter Gordon
Dimmu Borgir,Dimmu Borgir
Dire Straits,Dire Straits
